trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,violation state
228,False,"{'a': 0.7, 'e': 0.066226617853252193}",25,2,31.081865201503074,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('forward', 'green', None, None, None)]"
229,False,"{'a': 0.7, 'e': 0.066081860045508978}",25,15,18.613269716036484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
230,False,"{'a': 0.7, 'e': 0.065938047339578698}",25,0,-5.947659590769326,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0,"[('left', 'red', 'forward', 'forward', 'left')]"
231,False,"{'a': 0.7, 'e': 0.065795169495976899}",20,6,11.006605082417856,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1,"[('forward', 'red', 'forward', 'right', None), ('forward', 'green', 'forward', 'right', None)]"
232,False,"{'a': 0.7, 'e': 0.065653216429861272}",25,16,15.320301608366712,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
233,False,"{'a': 0.7, 'e': 0.065512178208041838}",25,12,26.82447132283789,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
234,False,"{'a': 0.7, 'e': 0.065372045046061339}",25,7,-22.285149447125118,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1,"[('right', 'red', 'left', 'forward', 'forward'), ('left', 'red', None, None, None)]"
235,False,"{'a': 0.7, 'e': 0.065232807305344226}",25,0,11.797391115023148,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0,"[('right', 'red', 'forward', None, None), ('right', 'red', 'forward', None, None)]"
236,False,"{'a': 0.7, 'e': 0.065094455490411943}",25,0,10.284810843449929,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0,"[('forward', 'red', None, None, None), ('right', 'red', None, None, None)]"
237,False,"{'a': 0.7, 'e': 0.064956980246163087}",20,0,-20.165435004949973,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,"[('left', 'red', 'left', 'forward', None), ('left', 'red', 'left', 'right', None)]"
238,False,"{'a': 0.7, 'e': 0.064820372355216441}",20,2,-1.9049603700929518,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1,"[('right', 'green', 'forward', 'right', 'right'), ('left', 'green', 'forward', None, None)]"
